"filename", "language", "JSON with Comments", "TypeScript JSX", "JSON", "TypeScript", "Ignore", "Markdown", "CSS", "XML", "HTML", "YAML", "comment", "blank", "total"
"d:\Projects\cookbook\client\src\components\useGetUsers\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\useGetUsers\useGetUsers.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\cookbook\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\cookbook\client\src\main.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Projects\cookbook\client\src\pages\AuthPage\Auth.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Projects\cookbook\client\src\pages\AuthPage\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\cookbook\client\src\pages\Create.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\cookbook\client\src\pages\Home.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Projects\cookbook\client\src\pages\Login.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Projects\cookbook\client\src\pages\RecipeDetails.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\cookbook\client\src\pages\UserDetails.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Projects\cookbook\client\src\pages\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Projects\cookbook\client\src\redux\slices\currentUserSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\filterRatingSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\followingArraySlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\followingSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\loginSlice.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\cookbook\client\src\redux\slices\paginationSlice.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Projects\cookbook\client\src\redux\slices\pendingSlice.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\cookbook\client\src\redux\slices\recipeDietSlice.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\cookbook\client\src\redux\slices\recipeQuerySlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\recipeSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\urlSlice.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Projects\cookbook\client\src\redux\slices\userFollowingslice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\userIdSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\userNameSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\slices\userSlice.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Projects\cookbook\client\src\redux\store.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\Projects\cookbook\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Projects\cookbook\client\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Projects\cookbook\client\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Projects\cookbook\client\vite.config.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 2, 21
"d:\Projects\cookbook\server\.prettierignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"d:\Projects\cookbook\server\.prettierrc", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Projects\cookbook\server\controllers\RecipeController.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 127
"d:\Projects\cookbook\server\controllers\UserController.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"d:\Projects\cookbook\server\index.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Projects\cookbook\server\middleware\upload.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Projects\cookbook\server\models\recipeModel\RecipeModel.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\cookbook\server\models\recipeModel\RecipeSchema.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Projects\cookbook\server\models\recipeModel\RecipeTypes.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Projects\cookbook\server\models\userModel\UserModel.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\cookbook\server\models\userModel\UserSchema.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Projects\cookbook\server\models\userModel\UserTypes.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\cookbook\server\package-lock.json", "JSON", 0, 0, 2382, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2383
"d:\Projects\cookbook\server\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\Projects\cookbook\server\routes\AuthRoutes.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 71
"d:\Projects\cookbook\server\routes\RecipeRoutes.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Projects\cookbook\server\routes\UserRoutes.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Projects\cookbook\server\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 49, 2464, 5138, 616, 4, 39, 486, 2, 13, 40, 16, 554, 9421
